Image,PSNR_Gaussian,PSNR_Median,PSNR_Bilateral
192_img_.png,26.88918018387215,26.090481996585208,27.60455941750379
193_img_.png,26.056361881951794,25.191584947592567,28.47771605197162
194_img_.png,28.276521811637984,28.082684005053657,27.997718549078023
1957.png,30.075751983976843,32.59065986157533,30.17765298680605
195_img_.png,29.18425174122763,30.12514239727144,29.18481051706484
196_img_.png,27.639697730929242,27.044773386762255,27.645009206641177
197_img_.png,28.454568268541255,28.703974459871628,28.967375873296646
198_img_.png,28.349102549338454,28.363883677073424,28.40984041745319
199_img_.png,28.8597943441207,29.53530806809256,29.34097002080319
19_img_.png,26.67424065776666,25.724857315118975,27.089867540434852
20.png,28.91072235304547,28.637680486503683,28.77838019450584
200_img_.png,26.726746314105903,25.4756948363002,27.514514243745687
201_img_.png,25.994356845741045,24.75994169596928,27.549917786868857
202_img_.png,29.446898966959512,30.354729578185143,29.216457884603027
203_img_.png,29.05089542278207,31.16677397131674,29.961711583786578
204_img_.png,30.118825210394608,33.26456776128191,30.34042193202888
205_img_.png,29.982447065207396,32.68331774037421,30.15630570451529
206_img_.png,27.366631596777566,26.57159375225916,27.620397942630504
207_img_.png,27.439061863378967,26.67916598688548,27.72466926591782
208_img_.png,30.144282415769368,32.74373312014869,29.959705074776718
209_img_.png,27.880470154124342,27.41822671499216,28.050776235507847
210_img_.png,28.576848356955562,28.721672646388058,28.653076223777305
211_img_.png,26.890301643484854,25.793775501402347,27.480367597997557
212_img_.png,26.04512738719106,24.404616398632804,26.78231909924535
213_img_.png,28.926199628471146,29.881381425500603,29.43091967599991
214_img_.png,29.039225259312076,29.970246826356277,29.33115705175133
215_img_.png,27.765171191786205,26.992798176591428,27.89984059272332
216_img_.png,27.7029705709747,26.770522387892825,27.689965599801138
217_img_.png,28.45490147784934,28.190856902088406,28.032659834200665
219_img_.png,24.92721241576246,23.070818026109198,25.801739523565203
220_img_.png,25.865012578245118,24.3442553876935,27.246662682091028
221_img_.png,26.820106721236698,26.289829039941317,27.407841876697834
222_img_.png,29.82945231764579,32.88079703984926,30.68587489661885
223_img_.png,27.365709874234255,26.61252402731214,28.434854699417077
224_img_.png,27.933623018477974,27.51158912083138,28.67719533085583
225_img_.png,20.465531971678477,18.2707257974335,27.892148723153163
226_img_.png,29.537694077857417,31.428488768138024,29.76942094861397
227_img_.png,27.24775111539545,27.76284293151837,29.31392288572523
228_img_.png,28.723596929967044,29.467714771251842,29.492834759603625
229_img_.png,30.002913532466305,33.123730007417976,30.419540393869426
22_img_.png,30.36813351987396,34.13913451928578,30.49171416759192
230_img_.png,25.411994743751357,23.740436481252818,26.83371853702168
231_img_.png,29.893385061710916,32.721851424217924,30.277244848520695
232_img_.png,29.398951085677613,30.94849859123355,29.59717928230316
233_img_.png,28.646250970205003,29.20360631592828,29.106148322888888
234_img_.png,25.832787840869855,24.074227105085487,26.579459553293727
236_img_.png,28.669470727055803,29.10968117887629,28.902317843317277
238_img_.png,29.91964647068869,32.94303349026502,30.24965418084056
23_img_.png,30.018488776452642,32.50169179721799,30.08489165579008
240_img_.png,30.33358675423029,33.77588693384333,30.606444423045993
241_img_.png,29.992756960269325,33.169279327824476,30.394322951673672
242_img_.png,27.64090802258481,26.902479521018712,27.657930935065103
243_img_.png,28.973352208110775,29.815694113278674,29.152079423135614
244_img_.png,25.31646530657899,24.232542286003373,28.681623067425825
245_img_.png,29.192134703208584,30.48898526596085,29.404966090379254
246_img_.png,26.67212046172654,26.036448856041908,28.36489645930975
247_img_.png,27.99738649246801,27.65636433765102,28.214629767549457
248_img_.png,30.337340352734667,35.09496278508571,30.930160607942625
24_img_.png,30.507000420404587,35.17586756652558,30.946609710394192
251_img_.png,27.192496081648084,26.189373007185004,27.58970024254532
252_img_.png,29.09666564471238,29.99520176835164,29.336624334751427
253_img_.png,26.45520789942523,25.112863217205184,27.19475519909848
2546.png,29.240756712977102,29.68484786845488,29.652426210754456
254_img_.png,30.46721967945071,35.847555407664586,31.12830970458107
255_img_.png,30.592948324747358,37.544983280821086,31.426712056211507
257_img_.png,30.08635654786726,32.46716214337342,29.87286613436497
258_img_.png,27.624689794903677,27.769665666312292,29.24437887657379
259_img_.png,23.604436612512757,22.28127148681939,27.74351457104295
25_img_.png,30.315979470095172,34.03176062958762,30.571979984949905
260_img_.png,28.903712417426718,30.103471937659123,30.07483089957994
261_img_.png,28.45215368269239,28.529972567447388,28.74785086286526
2629.png,30.358858743077395,34.576622050434146,30.873685671726598
262_img_.png,29.58725306315952,31.495875463370066,29.767679232692288
263_img_.png,29.90563093543317,32.74246359689704,30.388365322508864
265_img_.png,29.819085958114396,32.34969683560129,30.08024606046557
266_img_.png,27.953828235178836,27.614113528175753,28.39987385417636
2677.png,30.521241802367292,35.60997510812178,30.948488854021853
267_img_.png,30.078618884457594,33.28617410525855,30.45909793967846
268_img_.png,30.308106394376303,35.28640409836676,31.02920317877326
26_img_.png,30.46017850550861,35.13111667439582,30.89768231311
2701.png,29.975278997796583,32.726174113168696,30.238199394584328
270_img_.png,29.55812029766868,30.985531438307248,29.443458797559448
271_img_.png,27.22187995088658,26.216769005463448,27.331988206749557
272_img_.png,30.24340178521998,34.24779622416126,30.664318560726805
273_img_.png,30.037333918105155,32.70683771126489,30.01776817148243
274_img_.png,28.993193558987524,30.609788521698672,29.549715711910363
275_img_.png,27.44139689770798,26.65936501502121,27.959567432442828
276_img_.png,30.239723465801326,34.043479165010396,30.601244368335244
2774.png,30.397513358614724,35.244867880429304,31.0697872536468
277_img_.png,29.814494854320188,31.897855533470146,29.97987337507185
2787.png,30.444597528387977,35.61598280375894,31.172863154344498
278_img_.png,28.314959181736082,28.03756463007971,28.98994803448337
279_img_.png,29.17440472023816,30.544565591897953,30.125946521559285
27_img_.png,30.387920897437613,34.41482166555027,30.63984506069589
280_img_.png,30.589655008779104,36.52589815239918,31.255850070189055
281_img_.png,29.726257842413936,31.953312124617185,29.914391616273768
282_img_.png,26.253524390503607,25.670316975822555,28.083206664970053
284_img_.png,28.261138581337384,28.80102168666669,29.649181017898385
285_img_.png,29.796457218798828,33.256564803856826,30.39071974294584
287_img_.png,28.222150083581695,28.83255414150527,28.872410898938334
2882.png,30.234073995657425,33.391484728514754,30.349751111483894
288_img_.png,28.050473775904617,28.69305711814181,29.070643899684857
28_img_.png,28.393746752847125,28.46192134292,28.525277537850787
290_img_.png,27.34524453427695,27.037720961843263,28.931260362440675
292_img_.png,28.09428493564851,29.050347751862134,30.06252617890589
293_img_.png,26.842648624410074,27.133398203823905,28.54226915315554
294_img_.png,24.42913991594495,23.657726302750746,28.47007066061831
295_img_.png,23.21218615761463,22.028294142262368,27.891140026137332
296_img_.png,30.226852828257144,33.91358015476444,30.46258752450604
2977.png,29.226510615895343,29.94654525280434,29.65731506745736
298_img_.png,29.061586485765947,30.37978383151682,29.76402817695697
299_img_.png,29.032825983146825,31.292661510092806,30.705357660617423
29_img_.png,25.549058955990436,25.0717028544448,28.093095451845155
2_img_.png,24.04548527058667,22.942406497384752,27.74946891865634
3001.png,30.060294330384806,33.159648330204426,30.637205937112864
300_img_.png,28.044638915471488,28.195407857347448,29.2125651247999
3015.png,30.000044279724346,32.41129562896484,30.359046635459414
301_img_.png,29.014084174932346,30.536986081007736,29.525245777127388
302_img_.png,29.1942293921525,31.091584407862968,29.919994552003043
303_img_.png,27.68759152337438,27.93330071364927,29.140758903530042
304_img_.png,25.624064247296783,24.873508282691013,27.51243142430659
305_img_.png,25.47570876105926,24.937328103061866,28.74239755016575
306_img_.png,27.776038474520725,27.71674228247235,29.258629879396274
307_img_.png,28.954538626569175,30.20168167295094,29.599997743703508
30_img_.png,27.01697173797992,26.28834077622219,28.29595762889636
31.png,29.83073232875434,31.760142297055957,30.09958142183447
311_img_.png,26.257018121035212,25.35596072667145,27.465667317154647
312_img_.png,25.922200977648806,25.327456156810126,28.44609080434534
313_img_.png,26.775092132937395,26.273948948101268,28.744440047987773
314_img_.png,28.618623179363084,29.116889719153328,29.21228991046689
315_img_.png,23.882838127211762,22.228936566223556,27.41235761791328
316_img_.png,25.547008909141944,24.9147950923782,28.087463416277593
317_img_.png,25.557133319314612,25.24791021764362,28.972488145424457
318_img_.png,27.072771439358778,26.96284842857384,28.669251313778158
3196.png,30.1040515191946,33.17102689045998,30.618560544863612
319_img_.png,27.412288017343798,27.423472173682274,28.658174847098042
3202.png,30.515013118856228,36.33175885747122,31.28177587721993
320_img_.png,22.413059429352376,20.94374278094113,27.967970781649868
322_img_.png,25.678686636768482,25.49832528268249,28.00665809513234
323_img_.png,27.885305498321756,28.234863975636525,29.042896255993202
324_img_.png,25.095417181928575,24.462732389229643,28.09245534433172
325_img_.png,26.565496464721914,26.47147667709421,28.591434851448334
326_img_.png,25.951182516373894,25.59509323904535,28.714160842326496
327_img_.png,28.77120783628576,29.779917093828267,29.78707736529397
328_img_.png,30.363985627568724,34.49366148280593,30.654212520825578
32_img_.png,28.022601998647062,28.282573007042725,28.85835743364991
330_img_.png,28.768749035673203,30.356419822277026,30.92740002396473
332_img_.png,27.263292533024167,27.16161511038691,29.180834378617185
3330.png,30.538269321450244,36.78657334898157,31.268408963180224
334_img_.png,24.583427081227725,23.68176271221062,28.15978198685647
336_img_.png,25.57793653980024,25.087399576007936,28.902737511730262
337_img_.png,27.677119904196573,28.29507418254898,29.16742457057825
338_img_.png,27.160052974345593,26.867260470382973,29.215150786477775
